exon_id,n_exp,slope_exp,pearson_exp,spearman_exp,n_mean,slope_mean,pearson_mean,spearman_mean,n_prod,slope_prod,pearson_prod,spearman_prod
COL6A1_e9,149,0.05305506341741788,0.31080021738702873,0.16671397929601534,149,0.19226114127134045,0.5018084807234641,0.5052494676461138,149,0.23869536625127805,0.4985348089960464,0.5121967589284909
COL6A2_e11,150,0.19142473902381094,0.5450868535352205,0.573109157046387,150,0.1423242129869749,0.6224263723546283,0.6480381176140978,150,0.2078665318258679,0.6173067356127144,0.6478069941763942
COL6A2_e6,150,0.10332272037517273,0.544550582128646,0.5253713723913116,150,0.017685293007064222,0.23696641043768693,0.3297138826977538,150,0.021600334379831873,0.2368018472161879,0.32309254360960926
COL6A2_e7,123,0.051161569416099784,0.44606323718368823,0.28667288999419765,123,0.03501455863707018,0.35714035512365117,0.3316285079264567,123,0.044930039640694815,0.3610393627203082,0.34537246153098583
COL6A2_e8,51,0.7946627162465089,0.47401345410501167,0.45484162895927593,51,0.5308083261153043,0.7307866410810403,0.7766515837104072,51,0.8985980808143816,0.7273734660700213,0.7747511312217193
COL6A3_e18,69,0.5116485235578982,0.7566725780270388,0.7218122031421265,69,0.3890325943013537,0.688245167228824,0.6619656558275485,69,0.7596816274804976,0.6888573347442614,0.6619656558275485
COL7A1_e65,123,0.7525020986786405,0.7860023424474386,0.7532019450284404,123,0.19656069116063768,0.7543707539586323,0.7352907509008828,123,0.2517371719077423,0.7475898510052307,0.737973587678601
COL7A1_e70,96,0.8942737268391778,0.8548020835616339,0.8524823657080846,96,0.7191966929021096,0.8294042696198972,0.841710809235375,96,1.2853348234084163,0.8243432926058625,0.8419685429422019
COL7A1_e75,96,0.9065855913824783,0.7385247471463317,0.8297883884970157,96,0.8387423573416889,0.7740587930213977,0.8185024416711882,96,1.3531523759570971,0.7558497983594068,0.8185024416711882
COL9A2_e3,96,0.6616073769875909,0.6525971355511906,0.6944384156266956,96,0.07600616780522672,0.46118609914184777,0.42277679997801426,96,0.10535163586118682,0.4625178132598309,0.4228717541795687
COL9A3_e3,96,0.4732193517200478,0.5948113124604166,0.641589799240369,96,0.2042137542721958,0.6593892223621419,0.6704422137818775,96,0.3266155898497965,0.6521644829599844,0.668787303309821
COLQ_e13,406,0.3285081269134444,0.5859589047823169,0.5493396508025743,406,0.06914864025129414,0.468760081561385,0.4492968757741347,406,0.11020651446211045,0.45877727194988904,0.44840892647617586
COMP_e12,147,0.2562128041785011,0.5316246432705833,0.5964134497076707,147,0.16260697558173287,0.5959266602759198,0.5752499327184567,147,0.22161162492441183,0.5912840547488813,0.5726507270250816
COQ4_e4,289,0.24738108804974804,0.421856267889588,0.39089637161640367,289,0.06680238664230165,0.3017956974653675,0.398481831457562,289,0.09959090339941888,0.3121957947317767,0.39571664117591243
CPEB2_e3,258,0.9933902610071123,0.7526539553362855,0.8026998736640175,258,0.742477232251192,0.8274694983412345,0.8359827475678144,258,1.1862820278716175,0.8188452420716225,0.8356794848734929
CPNE4_e3,310,1.1617893017008607,0.842036359296467,0.8427062457472072,310,0.8898146669679644,0.8094879870326722,0.8209035365165468,310,1.332839597461618,0.8014414277655285,0.8209670258097325
CPNE7_e3,402,0.1836035382976676,0.316183354758874,0.28901944552798936,402,0.054481826811736744,0.3369315333666776,0.297638874413014,402,0.10806769676050815,0.3375635528551849,0.29826820373627394
CREBBP_e11,119,0.5556221713744841,0.57983833704194,0.6780444381142289,119,0.4074815908492969,0.7497225667515615,0.7430333502064946,119,0.5941214756507464,0.7451435604438184,0.7433609412020236
CRYZ_e7,294,1.2932628676999376,0.8114693590019354,0.8295166746176759,294,0.6567926782700579,0.828066676835326,0.8329445386788235,294,1.1123161148712155,0.81978243632254,0.8328165669969263
CSGALNACT2_e6,272,0.3311390175096615,0.5311477560499348,0.46696370443380275,272,0.2533527737834722,0.5922106944991524,0.5432354301863722,272,0.3168985331593192,0.5968542873640468,0.5400164675265473
CSNK2A1_e4,290,0.043314910058707225,0.10956719798064725,0.1876888093493544,290,0.15749198914666626,0.5973004187524232,0.6270187355861632,290,0.19363610907064155,0.5893284913258079,0.6351048715833405
CYP21A2_e4,292,0.2471966128270327,0.5152013732462842,0.49174954078428407,292,0.02597252761598006,0.16578812609605043,0.1744758846659398,292,0.041644144696606704,0.1677155307129258,0.17355527951022529
CYP4F11_e5,235,0.6364572050008132,0.6580906551842156,0.6512302699103996,235,0.2787482230893212,0.5582434383764749,0.5632696992379952,235,0.5325694385485904,0.5594362118375807,0.5632696992379952
DAG1_e2,243,1.2913528228696574,0.8052282547744948,0.813236440668593,243,0.6604040672347171,0.7889152819078034,0.7706824830520806,243,1.2643346780675426,0.7911500758164295,0.7718667048026213
DCAF17_e8,302,1.2730521670701225,0.7494753126663796,0.7570137829874698,302,0.9631916943714408,0.7193841019320287,0.8004851270545115,302,1.774306599499441,0.7324929949077903,0.8005173672000279
DDHD1_e12,240,0.9213822311166582,0.7802933440626865,0.8971772290268333,240,0.6146399017184984,0.8546546578341628,0.8781186284908428,240,0.976887876721237,0.8374693614694189,0.8752964736974533
DDIAS_e5,320,1.0746750421313687,0.8106262604146143,0.7902328373994576,320,0.8661181811896284,0.7910724337079603,0.7868854860424964,320,1.624074879063625,0.7938402648320201,0.7868854860424964
DDR1_e12,157,0.6542544196814233,0.652538155509659,0.6409801598868761,157,0.08562775219451603,0.3064567963786785,0.2871077654838469,157,0.10939335279709252,0.30760748395065135,0.29005376454642423
DGAT1_e10,105,0.7308999104995985,0.642565692929563,0.589467136636948,105,0.17555092729721453,0.5778937155807078,0.5911636718962211,105,0.24328100189778623,0.573893468960627,0.5965405170125602
DGUOK_e2,310,0.18027302948654889,0.3707454913560746,0.37336826505897697,310,0.2607668620422749,0.6047333201890985,0.6194094390661152,310,0.4383464902210208,0.602929937802643,0.6194042025255351
DGUOK_e5,227,0.12931371648487636,0.3747055630104908,0.3539372513273558,227,0.08981325851245822,0.46628912798149874,0.4296928339945877,227,0.1289571278482865,0.46450793474708996,0.4273834848237384
DMD_e71,105,0.19683278684191646,0.4419223780640578,0.6178603455419183,105,0.48112034190171676,0.8173664535767452,0.8451629958800868,105,0.6409383406473674,0.8014403829073744,0.8468631912989123
DMD_e78,84,2.1616330466575877,0.8213658256030815,0.8680773514224968,84,0.8418605002122005,0.9068409061228453,0.9146299483648881,84,1.6246687917536158,0.9082433074189887,0.9150956768249469
DMXL2_e36,321,0.00133404754662776,0.003223935316779154,0.1584448891601459,321,0.022034448095710053,0.13689227935905418,0.24745929388252258,321,0.03223968112776889,0.13133845365672053,0.2722284312511638
DNAH14_e12,376,0.29450457441082817,0.5413774434675702,0.7957540020197437,376,0.06195717815448332,0.3204347978100762,0.2687138392950952,376,0.08064151191922717,0.29579918174441594,0.26355278580857716
DNAH17_e15,313,0.08718544208853873,0.32131125475247746,0.23810620955946601,313,0.06042161757462189,0.23495552739812287,0.16446852534456025,313,0.10144923705320899,0.2631758033676345,0.20248579434501562
DNAH6_e7,333,1.269834392993583,0.7853144810460968,0.7984004961747402,333,0.9213524872697332,0.7436876988524062,0.7483690217640732,333,1.7268627578694666,0.7472773212524907,0.74839378081753
DNAH8_e34,397,0.294332788367779,0.5729476759385201,0.7213861580296699,397,0.15696339559129968,0.7190507788287169,0.7309601003207618,397,0.19172027020384527,0.7271806045804623,0.7367449396086797
DNAH8_e39,295,0.03073076636619203,0.21514095141766235,0.22800415034890498,295,0.0028866617360325027,0.02383774115447346,-0.008208251186341836,295,0.00752242326676569,0.04860753502125865,0.0140334607036544
DNAH8_e4,243,1.0349009538268543,0.8373720690324947,0.8692781432473433,243,0.192011831888999,0.7365319602006756,0.7208340784337266,243,0.24992741179563968,0.7282203980325218,0.7200069418294176
DNAH8_e55,393,1.1468292843629933,0.8270891175812869,0.8366154233493565,393,0.5763489114564362,0.817132366091869,0.8228552025733269,393,1.1201271419368768,0.8194452389294088,0.8228892476375298
DNAJA3_e11,272,0.5569331955123474,0.6394095487054523,0.6306847159325409,272,0.2676939225363166,0.5757448148453794,0.6429375185609832,272,0.47910499868153583,0.5897489353846076,0.6425779363204099
DNAJC5G_e3,202,0.20882330756928008,0.4013642931324294,0.3523999590886311,202,0.17412630157443973,0.5711627126956373,0.5052495258269122,202,0.2983487918701258,0.5682647157994255,0.5038199891581477
DOCK7_e7,246,0.06533078207012595,0.3478665243238231,0.35702385805752035,246,0.049949994499007125,0.29181748704665283,0.286806555108196,246,0.06837673118028191,0.3361301664156126,0.3308729731521896
DPY19L2_e8,264,1.400800751895625,0.8427329573160381,0.8335442088580762,264,0.7668231750558342,0.833462824114564,0.8137312576224979,264,1.4055160102654982,0.8383810630770893,0.8162845906514747
DPYD_e17,298,0.0347775382423342,0.12916274153242818,0.12318408233180476,298,0.11720249720666938,0.2602444681357727,0.24264114593922678,298,0.12720392682584872,0.26336470682595525,0.244804331299165
DTX2_e6,357,0.37384107412478895,0.5826312382451403,0.5024493103464236,357,0.3349453029083947,0.6461844004523436,0.6564943388665098,357,0.6518888516375942,0.6534855292561724,0.656690299531692
